id,smiles,inchikey
Z1217319489,COc1ccnc(C(=O)Nc2cccc(C(=O)N3CCCCC3)c2)c1,KORSJVFSJJJAKC-UHFFFAOYSA-N
Z442830754,Cc1cc(C(=O)Nc2ccc(Cl)c(C#N)c2)nn1-c1ccccc1,BHXSWKZPUYDWDC-UHFFFAOYSA-N
Z1558497131,O=C(c1ccc(-c2ccccc2F)o1)N1CCCc2cccc(O)c21,YBAYDOUBRAVMOX-UHFFFAOYSA-N
Z1554702411,Cc1cn(-c2ccccc2Cl)nc1C(=O)Nc1ccc2c(c1)CCC(=O)N2C,KUTNWMFFFWIVGC-UHFFFAOYSA-N
Z739163346,CCOc1ccc(NC(=O)c2sc(-c3ccccn3)nc2C)c(C)c1,DHZIQDFZMZUTAL-UHFFFAOYSA-N
Z1554801294,Cc1cn(-c2ccccc2Cl)nc1C(=O)Nc1ccc(OC2CCOC2)cc1,JZFKAYIPFVZMFF-UHFFFAOYSA-N
Z1391904254,CC1(C)CN(C(=O)c2csc(-c3ncccn3)n2)c2ccccc2S1,NOLSKRJOXOJRKN-UHFFFAOYSA-N
Z1547415302,Cc1cccc(N(C)C(=O)Cc2c(C)nn(CC(F)(F)F)c2C)n1,PCXYUVUJZQNLOE-UHFFFAOYSA-N
Z64817375,CCc1ccccc1NC(=O)c1cncn1-c1ccccc1,BKADYFQEYNFMMG-UHFFFAOYSA-N
Z1391777773,Cc1ccc(NC(=O)c2cnc(-c3cnn(C)c3)s2)c(C)n1,RHFRIOVOETZHLM-UHFFFAOYSA-N
Z1250725481,CCn1ccc2ccc(NC(=O)c3ccc(=O)n(-c4ccccc4)n3)cc21,RCWSWWBVZGWCMQ-UHFFFAOYSA-N
Z88276736,Cc1ccc(C(=O)N(C)C2CCCCC2)cc1S(=O)(=O)NCc1ccccc1,SYCIMAHUJMJHPD-UHFFFAOYSA-N
Z1204601275,Cc1ccc(-c2nc(C(=O)Nc3cccn(C)c3=O)cs2)c(C)c1,UEVYACYEVIUOII-UHFFFAOYSA-N
Z1865607076,N#Cc1ccc(NC(=O)CN2CCC(c3ccncc3)CC2)cc1,OOGSTCLLDYLIFN-UHFFFAOYSA-N
Z1233343469,Cc1cc(C(=O)N(C)c2ccccn2)sc1-c1cccc(Cl)c1,ZEYDGXYLBSEZMJ-UHFFFAOYSA-N
Z1095770629,Cc1ccc(C)c(N(C(=O)c2cn(-c3ccc(F)cc3)nn2)C(C)C)c1,CWPLHXVCOQGXEU-UHFFFAOYSA-N
Z1066636370,O=C(c1cnc(-c2cccs2)s1)N1CCCc2cccc(F)c21,HEYJTSKKFGLXAS-UHFFFAOYSA-N
Z1417254269,COc1ccc(-n2ccc(C(=O)Nc3ccc(OC)nc3C)n2)cc1,LQUPDEHWPSTMAQ-UHFFFAOYSA-N
Z1084051506,CC(=O)Nc1ccc(NCc2ncc(-c3cccc(Cl)c3)o2)c(Cl)c1,ALXZECLEMRUEBS-UHFFFAOYSA-N
Z1303527971,Cc1ncccc1NC(=O)c1cc(-c2ccc(F)cc2)[nH]n1,BLFFRIXGIOLRTF-UHFFFAOYSA-N
Z1048518932,COc1ccc(NC(=O)c2ccc(Cl)o2)c(C)c1,NBTJJEJURWVJNV-UHFFFAOYSA-N
Z1547398579,Cc1nn(CC(F)(F)F)c(C)c1CC(=O)N(C)c1cc(Cl)cc(Cl)c1,FAHHBFDCQKRPGH-UHFFFAOYSA-N
Z443038276,C=CCN(C(=O)c1cc(C)n(-c2ccccc2)n1)c1ccccc1,DVLWGLRVPIDRAN-UHFFFAOYSA-N
Z1458816191,O=C(c1ccnc(-n2cncn2)c1)N(c1ccccn1)C1CCCC1,FYZDPNATQZRGHK-UHFFFAOYSA-N
Z395340098,Cc1cc(C)n(-c2ccc(C(=O)Nc3cccc4c3C(=O)NC4)cn2)n1,SRXDSXVOAKNSNB-UHFFFAOYSA-N
Z1417259945,COc1ccc(NC(=O)c2nn(-c3ccccc3F)c(C)cc2=O)c(C)n1,FPTMYHRFLYBSKD-UHFFFAOYSA-N
Z1233300816,O=C(Nc1ccccc1F)c1cccc(-n2cccn2)n1,SNMPHOXTZSJFJL-UHFFFAOYSA-N
Z1736594956,O=C(Nc1cccc2[nH]ccc12)N1CC2(CC2)c2ccccc21,CYSKYWJXJLKZDH-UHFFFAOYSA-N
Z363539062,Cc1cccc2c1N(C(=O)c1cnn(-c3ccccn3)c1C)CCC2,XTJZJCQXUSCERG-UHFFFAOYSA-N
Z1763358600,Cc1cccc(COc2ccc3c(c2)NC(=O)CC3)c1,JBQIBDDWVMKDBQ-UHFFFAOYSA-N
Z1449763756,CC(=O)N(C)c1ccc(OCc2nc(C)c(-c3ccc(Cl)cc3)o2)cc1,BFZHOONXCUXXOB-UHFFFAOYSA-N
Z1269814631,Cc1ccc(-n2[nH]c(C(=O)N(C)c3ccccc3)cc2=O)cc1,XTYCTWPZKGFODT-UHFFFAOYSA-N
Z1868570626,CC(C)CN1CCC(N2C(=O)CN(Cc3ccc(Cl)cc3)C2=O)CC1,QYKWFFZQGCCJSD-UHFFFAOYSA-N
Z1344029719,O=C1CCCc2cc(NC(=O)c3ccn(-c4c(F)cccc4F)n3)ccc2N1,FQKVFDRSDAZVQW-UHFFFAOYSA-N
Z444017546,CCc1c(C(=O)Nc2ccc(-c3nncn3C)cc2)cnn1-c1ccc(F)cc1,RAOKMSNWSLERLM-UHFFFAOYSA-N
Z363595844,Cc1cc(C)c(NC(=O)c2cc(-c3ccccc3)on2)c(C)n1,XZFDHFKHWOECJO-UHFFFAOYSA-N
Z436259884,Cc1cccc(Oc2ccc(NC(=O)C(=O)NCCc3ccccn3)cc2)c1,KZRGPKGIMCKQLJ-UHFFFAOYSA-N
Z1383993711,COc1ccc(C)cc1-n1ccc(C(=O)Nc2nccn(C)c2=O)n1,OMUBBKNUGPSJRC-UHFFFAOYSA-N
Z338697852,CCc1c(C(=O)Nc2ccc(S(=O)(=O)CC)cc2)cnn1-c1ccccc1,KTGJSDUZQOAQRA-UHFFFAOYSA-N
Z363072408,CC(=O)c1ccc(NC(=O)c2cnn(-c3ccccc3C)c2C)cc1,SJHMVHNFLLUAFJ-UHFFFAOYSA-N
Z1365460381,CN(C(=O)c1cccc(-n2cccn2)c1)c1cc(Cl)ccc1C#N,YKEBBHVQPHXELT-UHFFFAOYSA-N
Z959466650,CC(=O)c1ccccc1NC(=O)c1ccn(-c2ccccc2Cl)n1,NGHSUWOYLDMUQC-UHFFFAOYSA-N
Z1753095063,Cc1ccc(NC(=O)[C@H]2CCO[C@@H]2c2c(C)nn(C)c2C)c(C)n1,KCJPSCPQSFDAEK-YOEHRIQHSA-N
Z1506550309,COc1cccnc1N(C)C(=O)c1nn(-c2ccc(F)cc2)c2c1CCCC2,RKSZRIORNIUTIH-UHFFFAOYSA-N
Z30803386,O=C(Nc1cc(F)ccc1F)c1sccc1-c1ccccc1,ZMPFMRISQMEXAZ-UHFFFAOYSA-N
Z1481880707,CCc1ncc(NC(=O)c2cn(-c3ccc(F)cc3)nn2)cn1,PSJYGJZQVQCHFQ-UHFFFAOYSA-N
Z1240278802,COCCn1cc(C(=O)NC2CC3CCC2C3)c2ccccc21,IFZLLYKYIBQOGO-UHFFFAOYSA-N
Z1458897112,CCOC(=O)c1cc(OC)c(F)cc1NC(=O)c1ccn(-c2ccccc2)n1,TVNSNCPGAGKYNN-UHFFFAOYSA-N
Z1443309284,Cc1nc(-c2ccccc2)oc1C(=O)N(CC1CC1)c1cccnc1,AFSNYAUAGHWJJS-UHFFFAOYSA-N
Z1413237195,Cc1cc(Oc2ccc(NC(=O)CCNC(=O)Cc3ccccc3)cc2)n[nH]1,BVWZVZKWJGAHNB-UHFFFAOYSA-N
